"name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations"
"Singapore",2015-01-15,31.8,24.9,27.8,35.4,24.9,29.5,22.5,74,0,0,0,NA,0,0,40,28.3,17.8,1012,88.6,10.1,230.8,19.8,8,NA,2015-01-15 07:12:14,2015-01-15 19:15:23,0.82,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-16,31.9,24,27.4,34.6,24,28.7,21.5,71.7,0,0,0,NA,0,0,35.3,25.3,15.1,1012,84,10.1,267.7,22.9,9,NA,2015-01-16 07:12:34,2015-01-16 19:15:45,0.86,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-17,31.9,23.8,27.3,33.6,23.8,28.2,21,70.1,0,0,0,NA,0,0,37.4,24.1,14.7,1012,84.6,10,280.8,24.2,10,NA,2015-01-17 07:12:54,2015-01-17 19:16:06,0.89,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-18,30.6,23.7,27,33.3,23.7,28.1,21.4,72.6,0,0,0,NA,0,0,35.6,29,25.5,1012.1,87.7,10.1,260,22.3,9,NA,2015-01-18 07:13:13,2015-01-18 19:16:27,0.92,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-19,30.6,24.7,27.2,33.7,24.7,28.3,21.6,72.7,0,0,0,NA,0,0,36,27.6,29.6,1012.5,85.8,10,263.2,22.7,9,NA,2015-01-19 07:13:31,2015-01-19 19:16:47,0.95,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-20,30.5,24.1,27,33.1,24.1,28.1,21.6,73.3,0,0,0,NA,0,0,34.9,27,34.7,1013.5,83.7,10,256.2,21.9,8,NA,2015-01-20 07:13:48,2015-01-20 19:17:07,0,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-21,30.3,24.9,26.6,34.3,24.9,27.8,23,81.1,0,0,0,NA,0,0,27,22.8,31.3,1014.8,84.3,8.1,215.2,18.5,7,NA,2015-01-21 07:14:05,2015-01-21 19:17:25,0.02,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-22,30.6,25,27.2,34,25,28.3,21.9,73.6,0,0,0,NA,0,0,38.5,29.1,29.7,1014.2,84.8,8.6,244.7,21.2,9,NA,2015-01-22 07:14:20,2015-01-22 19:17:43,0.06,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-23,29.7,24.7,26.8,32.7,24.7,27.9,21.8,74.6,0,0,0,NA,0,0,31.7,31.3,31.9,1012.6,87.6,10,232.1,20.1,8,NA,2015-01-23 07:14:35,2015-01-23 19:18:00,0.09,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-24,30.1,24.7,26.9,33.9,24.7,28.1,22.1,75.7,0,0,0,NA,0,0,32.8,24.3,40.1,1012.6,82.9,9.9,249.3,21.6,8,NA,2015-01-24 07:14:50,2015-01-24 19:18:17,0.13,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-25,30.6,24.8,27.1,34.1,24.8,28.5,22,74.2,0,0,0,NA,0,0,29.9,20.8,39.8,1013.2,84.4,8.3,139.1,12,7,NA,2015-01-25 07:15:03,2015-01-25 19:18:32,0.16,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-26,31.5,25,27.2,34.9,25,28.4,22,74.3,0,0,0,NA,0,0,34.2,24.9,31.6,1012.1,86,8.7,228.1,19.6,9,NA,2015-01-26 07:15:16,2015-01-26 19:18:47,0.19,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-27,31.6,24.7,27.5,34.5,24.7,28.7,21.7,72.2,0,0,0,NA,0,0,31,24.2,29.2,1011.1,86.2,10,265.4,23.1,9,NA,2015-01-27 07:15:27,2015-01-27 19:19:02,0.25,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-28,32.6,24,27.6,35.9,24,29.3,22.1,73,0,0,0,NA,0,0,31,18.9,27.2,1010,83.6,10.1,256.2,22.1,9,NA,2015-01-28 07:15:38,2015-01-28 19:19:15,0.26,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-29,29.9,24.9,26.9,34,24.9,28.4,22.9,79.2,0,0,0,NA,0,0,32,23.1,24.8,1010.9,86.1,10,190.1,16.4,7,NA,2015-01-29 07:15:48,2015-01-29 19:19:27,0.3,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-30,30.6,24.7,27,35.3,24.7,29,23.4,81.4,0,0,0,NA,0,0,29.5,24.7,32.5,1011.7,87.4,10.2,201.5,17.4,7,NA,2015-01-30 07:15:57,2015-01-30 19:19:39,0.33,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
