name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2016-01-01,29.9,25,27.6,35.7,25,30.6,24.7,84.8,5.549,100,25,rain,0,0,35.3,30.3,26.9,1012.4,80.2,9.6,168.2,14.3,7,,2016-01-01T07:06:20,2016-01-01T19:09:12,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-02,28,24,26.1,32.7,24,27.7,24.2,89.2,34.735,100,20.83,rain,0,0,44.6,18.1,23.8,1013.3,84.4,9,116.8,10.3,5,,2016-01-02T07:06:48,2016-01-02T19:09:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-03,27,24.8,26,30.2,24.8,26.8,24.3,90.5,33.8,100,20.83,rain,0,0,28.8,16,0.3,1013.1,85.3,8.8,115.7,10,5,,2016-01-03T07:07:16,2016-01-03T19:10:09,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-04,32.1,24.8,28.1,38.9,24.8,31.6,24.7,83,1.318,100,4.17,rain,0,0,25.6,20.3,40.5,1012.8,81.3,9.8,239.5,20.7,9,,2016-01-04T07:07:43,2016-01-04T19:10:37,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-05,32.6,26.6,29.1,38.9,26.6,33.6,24.6,77.7,0,0,0,,0,0,25.2,20.2,45.5,1012.2,78.3,10.2,231.9,20.1,8,,2016-01-05T07:08:10,2016-01-05T19:11:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-06,32.5,26.7,28.9,39.3,30,33.8,24.8,79.5,0,0,0,,0,0,23,21.5,43.1,1012.2,82.8,10.2,223.3,19.3,8,,2016-01-06T07:08:36,2016-01-06T19:11:32,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-07,32.9,26.7,29,37.9,29.7,33.2,24.1,76.1,0,0,0,,0,0,29.2,24.1,38.6,1012.6,86.6,10.3,223.5,19.3,7,,2016-01-07T07:09:02,2016-01-07T19:11:59,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-08,32.6,25.9,28.9,37.9,25.9,32.4,24.1,76.4,0.026,100,4.17,rain,0,0,28.1,22.1,40.9,1012,84.3,10.3,254.3,21.9,8,,2016-01-08T07:09:27,2016-01-08T19:12:25,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-09,32.9,25.9,29,38.3,25.9,33.1,24.2,76.5,1.616,100,8.33,rain,0,0,31.3,26.1,37.8,1011.6,84.8,9.8,218.8,18.9,7,,2016-01-09T07:09:52,2016-01-09T19:12:51,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-10,33.3,26.7,29.4,39,30,34,24.2,74.9,0,0,0,,0,0,27.7,20.7,45.5,1011.7,85.5,10.2,222.4,19.3,8,,2016-01-10T07:10:16,2016-01-10T19:13:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-11,33.1,26.9,29.1,40.3,29.8,33.9,24.6,77.4,0,0,0,,0,0,24.8,19.4,35.5,1011.5,79.8,10,254.2,21.9,9,,2016-01-11T07:10:40,2016-01-11T19:13:42,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-12,33.5,27,29.4,39.2,30.5,34.2,24.3,74.9,0.659,100,4.17,rain,0,0,29.2,23.1,39.7,1010.5,83.5,10.2,233.2,20.2,8,,2016-01-12T07:11:03,2016-01-12T19:14:07,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-13,33.4,26.7,29.3,39.3,30,34.1,24.4,75.6,0.395,100,4.17,rain,0,0,29.2,23.3,47,1010,86.5,10.2,230.4,19.8,8,,2016-01-13T07:11:25,2016-01-13T19:14:31,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-14,32.8,26.7,29.1,38.9,29.7,34.1,24.7,77.9,0.438,100,8.33,rain,0,0,24.5,21.7,39.3,1009.9,84,10.2,228.6,19.9,8,,2016-01-14T07:11:47,2016-01-14T19:14:54,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-15,32.4,26.6,28.4,39.6,26.6,32.9,24.9,81.6,6.229,100,12.5,rain,0,0,23.8,15.6,16.3,1009.1,81.6,9.8,185.2,15.9,6,,2016-01-15T07:12:08,2016-01-15T19:15:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-16,32.6,26.2,28.2,39.5,26.2,31.9,25,83.6,12.659,100,8.33,rain,0,0,19.8,15.1,20.1,1009.1,81.8,9.1,225.3,19.5,7,,2016-01-16T07:12:29,2016-01-16T19:15:39,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-17,31.6,25.5,27.6,39,25.5,31.3,25.1,86.8,29.572,100,12.5,rain,0,0,22.7,17.5,11.4,1009.4,79.8,9.2,214.5,18.6,8,,2016-01-17T07:12:48,2016-01-17T19:16:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-18,33.7,26.2,29.1,39.5,26.2,33.1,24.9,79.3,2.605,100,4.17,rain,0,0,21.6,14,16.1,1009.1,78.7,9.5,212.9,18.4,8,,2016-01-18T07:13:07,2016-01-18T19:16:21,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-19,31.7,26.7,28.7,37.9,30,33.5,24.7,79.4,1.831,100,8.33,rain,0,0,26.6,22.1,37.7,1010.1,87,10.1,228.8,19.8,8,,2016-01-19T07:13:26,2016-01-19T19:16:42,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-20,31.6,26.8,28.6,37.1,29.7,33.1,24.5,79.2,0.695,100,8.33,rain,0,0,29.2,17.9,38,1011.6,82.8,10.1,199.3,17.3,8,,2016-01-20T07:13:43,2016-01-20T19:17:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-21,31.6,26.9,28.6,36.7,29.9,32.6,24.1,77.4,0.517,100,12.5,rain,0,0,30.6,21.2,31.4,1010.9,88,10.2,195.4,17,7,,2016-01-21T07:14:00,2016-01-21T19:17:20,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-22,31.6,26.6,28.7,39.4,26.6,33.6,24.8,80,0.132,100,4.17,rain,0,0,31,20.5,28,1010.9,80.8,10,192.8,16.7,6,,2016-01-22T07:14:16,2016-01-22T19:17:38,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-23,32.9,26.7,28.8,38,29.8,33.3,24.4,78,0,0,0,,0,0,36.7,22.1,20.1,1011.7,82.9,9.8,211.1,18.3,8,,2016-01-23T07:14:31,2016-01-23T19:17:55,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2016-01-24,32.9,26.6,29.1,38.4,26.6,33.5,24.3,76.1,0,0,0,,0,0,35.6,34.5,34.5,1012.1,82.1,10.2,197.6,17.1,8,,2016-01-24T07:14:46,2016-01-24T19:18:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
