name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2019-01-01,33.4,26.1,29,37.7,26.1,31.5,23.3,72.7,2.188,100,8.33,rain,0,0,37.8,23,350.4,1011.4,70.1,10.1,212.6,18.4,9,,2019-01-01T07:06:28,2019-01-01T19:09:20,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-02,32.8,26.2,29.5,37.9,26.2,33.3,23.2,69.6,0,0,0,,0,0,46.4,19.9,303.9,1010.6,65.7,10.2,218.9,18.9,8,,2019-01-02T07:06:56,2019-01-02T19:09:48,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-03,32.3,27.2,29.8,39.1,30.5,35.2,24.4,73.1,0,0,0,,0,0,49,22.3,282.9,1010.1,63.7,10.1,233.6,20.2,8,,2019-01-03T07:07:23,2019-01-03T19:10:16,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-04,32.7,27,29.9,37.1,29.9,33.6,22.8,66.6,0,0,0,,0,0,46.8,15.5,279.1,1011.1,64.5,10.2,226.4,19.6,9,,2019-01-04T07:07:50,2019-01-04T19:10:44,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-05,32.7,26.7,28.5,39.8,29.9,33.4,24.8,80.6,0,0,0,,0,0,24.1,14.2,55.7,1011.1,62.6,8.7,138.7,12.2,7,,2019-01-05T07:08:17,2019-01-05T19:11:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-06,32.2,26.6,28.8,38.9,26.6,33.5,24.8,79.8,0,0,0,,0,0,24.8,25.4,37.6,1010.9,65.5,9.8,221,19.1,9,,2019-01-06T07:08:43,2019-01-06T19:11:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-07,32.6,26.6,29.1,39.5,26.6,33.6,24.4,76.5,0,0,0,,0,0,29.2,25.3,43.5,1010.7,62.5,10.2,235.6,20.4,10,,2019-01-07T07:09:09,2019-01-07T19:12:06,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-08,31.6,26.6,28.3,38.1,26.6,32.5,24.6,80.8,0.653,100,4.17,rain,0,0,26.3,18.4,42.3,1010.9,59.9,9.9,138,11.9,10,,2019-01-08T07:09:34,2019-01-08T19:12:33,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-09,32.1,26.6,28.9,38.1,26.6,33,24.3,77.1,0,0,0,,0,0,34.6,26.6,40.2,1010.7,66,10.2,131.1,11.3,6,,2019-01-09T07:09:59,2019-01-09T19:12:59,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-10,32.6,26,28.9,37.1,26,32.4,23.5,73.9,0,0,0,,0,0,31,25.9,41.4,1010.5,66.7,10.2,257.7,22.5,10,,2019-01-10T07:10:23,2019-01-10T19:13:24,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-11,32.2,25.9,28.6,37.8,25.9,32.1,23.9,76.4,4.446,100,8.33,rain,0,0,29.2,24.4,34.3,1010.4,62.5,10.1,178.1,15.4,9,,2019-01-11T07:10:46,2019-01-11T19:13:49,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-12,32.9,25.5,28.7,37.4,25.5,31.4,23,72.4,0,0,0,,0,0,29.2,22,37.7,1010.2,63.7,10.2,241.9,20.9,9,,2019-01-12T07:11:09,2019-01-12T19:14:13,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-13,31.9,26.5,28.4,37.8,26.5,31.5,23.8,76.6,0,0,0,,0,0,25.6,20.1,30.6,1010,65.3,9.9,162.4,13.9,7,,2019-01-13T07:11:31,2019-01-13T19:14:37,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-14,31.5,26.5,28.2,37.5,26.5,31.7,24.1,78.9,0,0,0,,0,0,27.4,22.9,30,1009.2,63.3,10.1,188.6,16.1,9,,2019-01-14T07:11:53,2019-01-14T19:15:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-15,32.8,26.5,28.9,37.2,26.5,31.8,23.2,72.4,0,0,0,,0,0,29.2,14.8,13.4,1009.4,65.1,10.2,175.3,15,8,,2019-01-15T07:12:14,2019-01-15T19:15:23,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-16,32.5,26.5,28.8,37.4,26.5,31.9,23.4,73.3,0,0,0,,0,0,28.8,24,8.2,1009.5,64.5,10.2,182.4,15.8,9,,2019-01-16T07:12:34,2019-01-16T19:15:45,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-17,31.9,25.6,27.3,37,25.6,29.3,23.9,81.9,11.735,100,16.67,rain,0,0,31.7,16.4,3.4,1008.8,63.2,9.8,140,12.2,7,,2019-01-17T07:12:54,2019-01-17T19:16:06,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-18,28.6,24.6,26.3,32.6,24.6,27.8,23.8,86.8,41.695,100,20.83,rain,0,0,36.7,20.9,13.2,1009.3,65,8.9,99.3,8.4,4,,2019-01-18T07:13:13,2019-01-18T19:16:27,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-19,31.5,25.6,28.1,36.4,25.6,30.5,23.4,76.4,0,0,0,,0,0,31.7,24.9,24.1,1009.3,64.2,10.1,189.6,16.5,10,,2019-01-19T07:13:31,2019-01-19T19:16:47,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-20,32.6,26.1,28.7,37.6,26.1,31.7,23.6,74.5,0,0,0,,0,0,32.8,27.5,21.5,1009.9,63.8,10.1,197.7,17.2,9,,2019-01-20T07:13:48,2019-01-20T19:17:06,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2019-01-21,31.7,26.6,28.4,37.2,26.6,31.7,23.6,75.6,0.868,100,4.17,rain,0,0,31.7,24.7,16.4,1010.5,63.3,10,216.2,18.7,9,,2019-01-21T07:14:05,2019-01-21T19:17:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
