name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2021-01-01,26.5,22,24.5,26.5,22,24.5,21.8,85.1,128.519,100,25,rain,0,0,42.5,23.2,1.7,1009.4,85.9,7.1,21.7,1.9,1,,2021-01-01T07:06:43,2021-01-01T19:09:35,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-02,25,22,23.2,25,22,23.2,22.6,96.3,198.16,100,29.17,rain,0,0,41,18.5,335.7,1009.4,94.9,5.9,7.4,0.6,0,,2021-01-02T07:07:11,2021-01-02T19:10:04,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-03,25.3,23,24.1,25.3,23,24.1,22.9,93.4,6.127,100,25,rain,0,0,33.8,9.2,357,1009.1,88.9,9.4,55,4.9,5,,2021-01-03T07:07:38,2021-01-03T19:10:32,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-04,28.6,23,25.4,31.9,23,26.3,22.8,86.3,0,0,0,,0,0,31.3,10,5.9,1009.4,83.5,10.1,155.3,13.5,8,,2021-01-04T07:08:05,2021-01-04T19:11:00,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-05,31.7,24.5,27.1,36.7,24.5,29.2,23.4,81,3.526,100,8.33,rain,0,0,30.6,19,15.9,1008.6,83.4,10.1,183.5,15.7,8,,2021-01-05T07:08:31,2021-01-05T19:11:27,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,96087099999,F0045,48699099999,WSSL"
Singapore,2021-01-06,29.6,25.6,27.3,33.3,25.6,29,23.2,78.8,0.695,100,8.33,rain,0,0,32.8,19.4,358.8,1008.2,87.9,10.1,151.9,13.1,6,,2021-01-06T07:08:57,2021-01-06T19:11:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-07,26.6,24,24.9,26.6,24,24.9,23.1,89.6,6.809,100,20.83,rain,0,0,33.1,13.4,11.7,1008.1,87.7,9.7,40.4,3.5,1,,2021-01-07T07:09:23,2021-01-07T19:12:21,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-08,27.9,24.6,25.8,32.4,24.6,26.4,24.2,90.9,34.902,100,29.17,rain,0,0,35.6,20.3,34.4,1007.7,80.4,8.7,107.7,9.3,5,,2021-01-08T07:09:48,2021-01-08T19:12:47,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-09,28,24.5,25.9,31.9,24.5,26.6,23.9,89.1,14.372,100,16.67,rain,0,0,38.9,24.5,22.7,1008.2,86.2,9,88.9,7.6,8,,2021-01-09T07:10:12,2021-01-09T19:13:13,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2021-01-10,24.6,24,24.1,24.6,24,24.1,23.7,97.9,196.546,100,33.33,rain,0,0,41,19.9,8,1009,96.4,4.7,13.3,1.2,1,,2021-01-10T07:10:36,2021-01-10T19:13:38,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
