name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2023-01-01,30.5,25,27.4,33.8,25,28.7,22.3,74.6,0,0,0,rain,0,0,32,15.9,10,1011.9,89,9.8,205.6,17.7,8,10,2023-01-01T07:06:31,2023-01-01T19:09:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-02,31.6,25,27.8,35.7,25,29.5,22.4,73.2,0,0,0,rain,0,0,28.4,19,359.6,1011.9,87.1,10.1,246.1,21.3,9,30,2023-01-02T07:06:59,2023-01-02T19:09:51,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-03,31.7,25.6,27.8,36,25.6,30,23,75.5,12.154,100,8.33,rain,0,0,37.1,18,1.9,1011.8,83.7,9.9,208,17.9,8,30,2023-01-03T07:07:26,2023-01-03T19:10:19,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-04,29,24.9,26.8,32.7,24.9,28.4,22.8,79.1,1.736,100,4.17,rain,0,0,33.8,17,353.8,1011.4,80.1,10.1,177.9,15.4,6,30,2023-01-04T07:07:53,2023-01-04T19:10:47,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-05,31.6,25.5,27,35.7,25.5,28.2,23.3,80.9,0,0,0,rain,0,0,29.9,13.7,349.9,1010.5,86.4,9.8,208.6,18.1,8,30,2023-01-05T07:08:20,2023-01-05T19:11:15,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-06,32.8,25.5,28.4,36.3,25.5,30.3,22.7,72.7,0,0,0,rain,0,0,23.4,16.7,343.8,1010.1,82.2,10,232.5,20.1,8,30,2023-01-06T07:08:46,2023-01-06T19:11:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-07,31.9,25.9,28.1,35.7,25.9,30.2,22.5,72.5,0,0,0,rain,0,0,25.9,10.4,316.8,1009.6,86.3,10,155.7,13.5,7,30,2023-01-07T07:09:11,2023-01-07T19:12:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-08,33.7,25.6,28.7,37.2,25.6,30.6,22.5,70.8,0,0,0,rain,0,0,32.4,15.1,326.1,1010.2,86.7,10.1,229.2,19.7,9,30,2023-01-08T07:09:37,2023-01-08T19:12:35,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-09,31.8,25.3,27.7,35.6,25.3,29.3,23.4,78.4,0.132,100,4.17,rain,0,0,21.2,19.3,41.2,1011.1,84.8,10.1,201.7,17.4,8,30,2023-01-09T07:10:01,2023-01-09T19:13:01,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-10,30,25.4,27.4,35.7,25.4,29.5,23.9,81.9,2.657,100,12.5,rain,0,0,22.3,16.1,44.2,1010.8,74.5,9.7,211.5,18.3,7,30,2023-01-10T07:10:25,2023-01-10T19:13:26,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-11,29.5,24.9,26.1,33.5,24.9,26.8,23.3,84.6,6.068,100,16.67,rain,0,0,48.2,30,54.6,1010.7,84.3,9.4,163,14.1,7,30,2023-01-11T07:10:49,2023-01-11T19:13:51,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-12,32.5,24,27.7,36.7,24,29.8,22.7,75.6,1.845,100,4.17,rain,0,0,15.8,13.9,57.9,1009.9,82.1,9,215.7,18.6,8,30,2023-01-12T07:11:12,2023-01-12T19:14:16,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-13,31.6,25.3,26.8,36.9,25.3,27.9,23.9,85,2.768,100,4.17,rain,0,0,19.1,16.4,25.5,1010.6,86,9.6,230.2,19.9,8,30,2023-01-13T07:11:34,2023-01-13T19:14:40,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-14,31,25,26.9,36.2,25,28.5,24,85.1,0.965,100,8.33,rain,0,0,18.4,15.3,49.4,1009.6,84.4,9,234.2,20.2,8,30,2023-01-14T07:11:55,2023-01-14T19:15:03,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-15,31.7,25.1,27.3,36.4,25.1,29.6,24.1,83.2,0,0,0,rain,0,0,25.9,14.9,7.2,1008.8,79.8,9.2,223.2,19.1,8,30,2023-01-15T07:12:16,2023-01-15T19:15:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-16,31.5,25,27.7,36.6,25,30,23.2,77.6,0.132,100,8.33,rain,0,0,31.3,20.9,19.3,1009.3,86.4,9.8,231.6,19.8,8,30,2023-01-16T07:12:37,2023-01-16T19:15:47,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-17,32.5,25,28.3,34.8,25,29.9,21.6,68.2,0,0,0,rain,0,0,30.6,21.1,10.4,1010.6,89,10.2,254.3,22,9,10,2023-01-17T07:12:56,2023-01-17T19:16:09,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-18,31.2,25.6,27.7,35.3,25.6,29.7,22.5,73.6,0.347,100,4.17,rain,0,0,37.1,26,11.8,1011.3,84.4,10.1,239.9,20.7,8,10,2023-01-18T07:13:15,2023-01-18T19:16:30,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-19,29,25,26.5,32.6,25,27.8,22.8,80.4,1.563,100,8.33,rain,0,0,39.2,20.3,2.6,1010.7,80.1,9.1,214.4,18.6,7,30,2023-01-19T07:13:33,2023-01-19T19:16:50,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-20,28,24.6,25.8,31.7,24.6,26.4,23.7,88.2,23.128,100,45.83,rain,0,0,33.8,17.7,351.4,1009.6,81.6,9.1,146.6,12.6,6,30,2023-01-20T07:13:50,2023-01-20T19:17:09,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-21,31.5,25,27.6,36.5,25,29.8,23.5,79.6,0.452,100,12.5,rain,0,0,32.8,22,15.1,1008.9,88.4,9.9,218.7,19,9,30,2023-01-21T07:14:07,2023-01-21T19:17:27,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-22,29.5,24.9,26.3,34.3,24.9,27.2,24.2,88.4,14.109,100,37.5,rain,0,0,37.1,19.7,13.4,1008,67.5,9.2,187.6,16.2,7,30,2023-01-22T07:14:23,2023-01-22T19:17:45,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-23,27.1,24.4,25.7,30.5,24.4,26.2,24,90.7,40.747,100,33.33,rain,0,0,34.6,10.5,336.6,1007.7,82.7,8.2,167.4,14.4,6,30,2023-01-23T07:14:38,2023-01-23T19:18:03,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-24,25,23,24.1,25,23,24.1,23,93.6,39.135,100,70.83,rain,0,0,37.1,8.6,310.2,1008.8,95.5,7.7,60.5,5.3,2,10,2023-01-24T07:14:52,2023-01-24T19:18:19,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-25,25,23,23.9,25,23,23.9,22.8,93.7,68.696,100,75,rain,0,0,38.5,14.9,346,1008.9,92.6,7.2,54.5,4.6,3,10,2023-01-25T07:15:05,2023-01-25T19:18:35,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2023-01-26,27,23.1,24.8,29.6,23.1,25.1,22.8,88.8,10.388,100,16.67,rain,0,0,34.6,12.9,341.1,1009.3,88,8.9,121.6,10.4,5,10,2023-01-26T07:15:18,2023-01-26T19:18:49,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
