name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2017-01-01,31.2,25.6,27.8,36.7,25.6,30.7,24.4,82.5,0.695,100,4.17,rain,0,0,27,23.4,23.4,1008.2,70.8,9.5,195.3,16.8,7,,2017-01-01T07:06:41,2017-01-01T19:09:33,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-02,30.9,25.7,27,36.8,25.7,29,24.7,87.5,8.964,100,4.17,rain,0,0,26.6,11.1,20,1008.6,61.1,9.4,138.5,12,5,,2017-01-02T07:07:09,2017-01-02T19:10:01,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-03,29.9,24.9,26.9,34.8,24.9,29,24.2,85.7,0.613,100,12.5,rain,0,0,28.4,21.7,12.8,1008.6,61.5,9.7,139,12,6,,2017-01-03T07:07:36,2017-01-03T19:10:29,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-04,30.9,24.9,27.3,36,24.9,29.6,23.6,81.1,2.605,100,4.17,rain,0,0,31.7,13.4,354.4,1008.3,62.7,10.2,127,10.8,8,,2017-01-04T07:08:03,2017-01-04T19:10:57,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2017-01-05,32.7,25,28.4,35.7,25,30.3,22.8,73.5,0.521,100,4.17,rain,0,0,22,12.6,321,1007.9,61,10,164,14.1,5,,2017-01-05T07:08:29,2017-01-05T19:11:25,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-06,33.6,26,29.2,37.8,26,32.7,24.2,76.3,0,0,0,,0,0,20.2,16.1,21.4,1006.7,60.6,10.1,230,19.8,8,,2017-01-06T07:08:55,2017-01-06T19:11:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-07,34.8,26.5,29.9,38.2,26.5,33.8,23.9,73,0,0,0,,0,0,35.6,15.6,199.7,1006.1,62.8,10.2,256.1,22.1,9,,2017-01-07T07:09:20,2017-01-07T19:12:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-08,34.7,26.8,30.1,38.7,30.6,34.6,24,72.8,0.849,100,8.33,rain,0,0,24.1,14.2,83.2,1006.4,63.9,10.1,265.7,23,9,,2017-01-08T07:09:45,2017-01-08T19:12:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-09,33.5,26.8,29.2,39,30.3,34,24.7,78.1,0,0,0,,0,0,28.8,15.6,55.2,1006.9,63.5,10.2,252.1,21.7,9,,2017-01-09T07:10:10,2017-01-09T19:13:10,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-10,32.5,26.7,28.5,39.1,29.7,33,24.8,81.5,2.779,100,8.33,rain,0,0,32.8,19.8,36.6,1008,62.8,9.6,255.9,22.2,9,,2017-01-10T07:10:34,2017-01-10T19:13:35,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-11,32.5,23,27.3,38.4,23,29.5,24.2,84.2,23.094,100,8.33,rain,0,0,23.8,16.7,33.3,1008.7,59.8,9.7,232.8,20.1,8,,2017-01-11T07:10:57,2017-01-11T19:14:00,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-12,32.8,25.6,28.7,36.7,25.6,31.1,23.5,75.6,0,0,0,,0,0,24.8,12.1,321,1008,62.9,9.8,191,16.4,6,,2017-01-12T07:11:19,2017-01-12T19:14:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-13,31.8,25.9,27.9,37.5,25.9,30.5,24.3,81.5,0.105,100,4.17,rain,0,0,29.2,11.6,40.5,1008.2,60.3,9.5,149.6,13.1,5,,2017-01-13T07:11:41,2017-01-13T19:14:48,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-14,31.9,24.9,28.3,36.8,24.9,31.4,23.9,77.8,0.347,100,4.17,rain,0,0,20.2,10.2,282.3,1008.5,61.6,10.1,222.4,19.2,7,,2017-01-14T07:12:03,2017-01-14T19:15:11,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-15,33.8,25.8,28.5,39.7,25.8,31.4,23.9,78,9.55,100,4.17,rain,0,0,25.9,10.6,331.9,1009.4,61.9,10,231,19.8,8,,2017-01-15T07:12:23,2017-01-15T19:15:33,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-16,32.7,25.1,28.2,38.8,25.1,30.5,23,74.7,2.868,100,4.17,rain,0,0,26.6,9.5,357.6,1009.2,62.1,10.1,232.6,20.1,8,,2017-01-16T07:12:43,2017-01-16T19:15:55,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-17,32.5,25,28,37.1,25,30.4,23.5,77.4,0,0,0,,0,0,23.8,9.4,39.5,1009.3,63.1,10.2,232.6,20.1,8,,2017-01-17T07:13:02,2017-01-17T19:16:16,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-18,32.9,24.5,26.9,38.3,24.5,28.4,23.5,82.6,6.406,100,8.33,rain,0,0,27.7,12.4,26.3,1010.7,60.1,9.7,248.8,21.4,9,,2017-01-18T07:13:21,2017-01-18T19:16:36,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-19,32.7,24.8,27.1,37.3,24.8,28.6,23.9,84.3,14.76,100,8.33,rain,0,0,24.1,13.8,3.4,1010.3,58.9,9.5,236.3,20.4,8,,2017-01-19T07:13:38,2017-01-19T19:16:56,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-20,30.2,24.3,26.8,34.5,24.3,28.8,23.8,84,4.394,100,8.33,rain,0,0,27.4,11.3,287,1010.2,61.5,9.5,184.3,16,7,,2017-01-20T07:13:55,2017-01-20T19:17:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-21,31.4,25.2,27.1,37.6,25.2,28.9,24.2,84.7,5.569,100,12.5,rain,0,0,31.7,13.4,18.8,1011.3,59.3,9.4,200.7,17.5,8,,2017-01-21T07:14:12,2017-01-21T19:17:33,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-22,29.9,24.8,26.9,35.7,24.8,29.4,24,84.1,28.443,100,20.83,rain,0,0,34.6,17.8,17.5,1011.9,59.6,9.7,151.3,13.3,5,,2017-01-22T07:14:27,2017-01-22T19:17:51,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-23,28,24.3,25.5,31.7,24.3,25.9,24.2,92.6,59.801,100,33.33,rain,0,0,28.4,19.9,32.8,1011.4,62.2,7.4,91.4,7.9,4,,2017-01-23T07:14:42,2017-01-23T19:18:07,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2017-01-24,25,24,24.3,25,24,24.3,23.3,94.2,20.152,100,29.17,rain,0,0,44.6,10.5,308.8,1012.1,66.9,8.8,43,3.6,2,,2017-01-24T07:14:55,2017-01-24T19:18:24,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
