Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,21/02/2020,4.8,1.4,1.6,2.6,26.6,29.7,24.0,21.6,65.9,1.4439,103.7854
North,Admiralty,22/02/2020,0,0.0,0.0,0.0,27.5,30.6,25.5,25.2,60.5,1.4439,103.7854
North,Admiralty,23/02/2020,0,0.0,0.0,0.0,27.5,31.0,25.1,25.6,59.8,1.4439,103.7854
North,Admiralty,24/02/2020,0.2,0.2,0.2,0.2,26.8,29.7,25.6,24.1,69.8,1.4439,103.7854
North,Admiralty,25/02/2020,0,0.0,0.0,0.0,27.7,31.6,25.2,23.0,50.8,1.4439,103.7854
North,Admiralty,26/02/2020,0,0.0,0.0,0.0,27.9,32.4,25.1,22.3,49.0,1.4439,103.7854
North,Admiralty,27/02/2020,0,0.0,0.0,0.0,28.1,32.8,25.3,21.6,47.2,1.4439,103.7854
North,Admiralty,28/02/2020,0,0.0,0.0,0.0,28.0,32.3,25.4,22.0,47.5,1.4439,103.7854
North,Admiralty,29/02/2020,0,0.0,0.0,0.0,27.8,32.5,24.9,22.3,45.7,1.4439,103.7854
North,Admiralty,01/03/2020,0.2,0.2,0.2,0.2,27.5,30.4,25.7,22.7,52.2,1.4439,103.7854
North,Admiralty,02/03/2020,0,0.0,0.0,0.0,27.4,31.6,24.6,22.0,49.7,1.4439,103.7854
North,Admiralty,03/03/2020,0,0.0,0.0,0.0,28.0,32.1,25.4,21.6,47.5,1.4439,103.7854
North,Admiralty,04/03/2020,8.6,6.2,6.4,7.2,27.9,32.7,24.4,14.4,41.5,1.4439,103.7854
North,Admiralty,05/03/2020,6,4.4,5.6,5.8,28.6,33.1,25.2,9.8,26.3,1.4439,103.7854
North,Admiralty,06/03/2020,0,0.0,0.0,0.0,28.6,32.3,25.8,11.6,35.6,1.4439,103.7854
North,Admiralty,07/03/2020,0,0.0,0.0,0.0,29.7,33.5,27.7,9.1,32.8,1.4439,103.7854
North,Admiralty,08/03/2020,0,0.0,0.0,0.0,29.5,33.2,27.3,9.2,28.2,1.4439,103.7854
North,Admiralty,09/03/2020,6.8,3.0,4.4,5.2,26.6,29.7,24.8,9.8,25.9,1.4439,103.7854
North,Admiralty,10/03/2020,7.2,3.4,4.6,6.8,27.6,32.6,23.4,9.6,35.2,1.4439,103.7854
North,Admiralty,11/03/2020,0.6,0.4,0.4,0.4,27.4,31.5,25.5,12.1,33.9,1.4439,103.7854
North,Admiralty,12/03/2020,6.2,4.6,4.8,5.2,26.6,33.7,24.0,14.7,55.7,1.4439,103.7854
North,Admiralty,13/03/2020,0,0.0,0.0,0.0,29.3,36.0,25.8,16.9,41.4,1.4439,103.7854
North,Admiralty,14/03/2020,0,0.0,0.0,0.0,28.9,33.5,26.5,18.7,41.8,1.4439,103.7854
North,Admiralty,15/03/2020,0,0.0,0.0,0.0,28.9,33.1,26.7,21.6,46.1,1.4439,103.7854
North,Admiralty,16/03/2020,0,0.0,0.0,0.0,28.5,32.7,26.6,22.3,61.2,1.4439,103.7854
North,Admiralty,17/03/2020,0,0.0,0.0,0.0,28.5,32.4,25.9,20.9,50.4,1.4439,103.7854
North,Admiralty,18/03/2020,5.4,3.4,3.6,5.4,27.9,32.0,25.5,18.7,44.6,1.4439,103.7854
North,Admiralty,19/03/2020,0,0.0,0.0,0.0,28.3,33.9,25.7,16.2,41.0,1.4439,103.7854
North,Admiralty,20/03/2020,0,0.0,0.0,0.0,28.1,32.8,26.0,17.6,41.0,1.4439,103.7854
North,Admiralty,21/03/2020,45.2,26.8,39.2,45.0,27.5,32.0,24.1,16.9,39.2,1.4439,103.7854
North,Admiralty,22/03/2020,26.8,12.8,24.0,26.8,27.3,33.8,23.6,13.0,53.6,1.4439,103.7854
North,Admiralty,23/03/2020,19.4,9.0,12.8,18.0,26.5,30.4,24.0,11.9,32.8,1.4439,103.7854
North,Admiralty,24/03/2020,0.2,0.2,0.2,0.2,28.2,33.6,24.7,17.3,47.5,1.4439,103.7854
North,Admiralty,25/03/2020,0,0.0,0.0,0.0,28.4,32.0,25.8,14.4,38.2,1.4439,103.7854
North,Admiralty,26/03/2020,0,0.0,0.0,0.0,29.0,33.6,26.0,17.6,39.2,1.4439,103.7854
North,Admiralty,27/03/2020,30.6,23.0,28.8,28.8,28.1,34.6,23.8,14.8,44.3,1.4439,103.7854
North,Admiralty,28/03/2020,14.2,10.6,14.0,14.0,28.8,34.9,25.8,14.0,36.4,1.4439,103.7854
North,Admiralty,29/03/2020,0,0.0,0.0,0.0,28.9,33.9,26.3,18.7,37.8,1.4439,103.7854
North,Admiralty,30/03/2020,0.2,0.2,0.2,0.2,28.9,34.8,25.9,15.1,35.6,1.4439,103.7854
North,Admiralty,31/03/2020,0,0.0,0.0,0.0,29.4,35.0,26.6,16.2,39.6,1.4439,103.7854
North,Admiralty,01/04/2020,7,6.2,6.8,7.0,26.7,30.3,25.2,20.9,58.7,1.4439,103.7854
North,Admiralty,02/04/2020,0,0.0,0.0,0.0,27.1,31.4,24.4,20.2,49.7,1.4439,103.7854
North,Admiralty,03/04/2020,0.6,0.6,0.6,0.6,28.3,33.1,25.8,18.4,41.4,1.4439,103.7854
North,Admiralty,04/04/2020,0,0.0,0.0,0.0,29.2,33.8,26.4,16.1,40.7,1.4439,103.7854
North,Admiralty,05/04/2020,0.2,0.2,0.2,0.2,27.8,30.9,26.1,13.0,29.8,1.4439,103.7854
North,Admiralty,06/04/2020,13.8,9.8,10.8,11.0,28.5,34.0,24.1,8.4,51.5,1.4439,103.7854
North,Admiralty,07/04/2020,0.2,0.2,0.2,0.2,28.6,32.8,25.1,11.0,40.0,1.4439,103.7854
North,Admiralty,08/04/2020,1,1.0,1.0,1.0,27.6,29.6,24.1,9.9,59.4,1.4439,103.7854
North,Admiralty,09/04/2020,5,3.8,3.8,3.8,27.0,31.6,25.0,10.3,31.3,1.4439,103.7854
North,Admiralty,10/04/2020,0,0.0,0.0,0.0,28.7,31.2,27.0,8.4,18.7,1.4439,103.7854
North,Admiralty,11/04/2020,18.2,8.4,10.6,12.6,25.1,26.9,23.3,12.0,48.2,1.4439,103.7854
North,Admiralty,12/04/2020,4.2,3.6,3.6,4.2,26.4,31.1,24.6,18.8,46.5,1.4439,103.7854
North,Admiralty,13/04/2020,27.6,22.2,27.4,27.6,28.2,32.7,22.4,14.2,51.5,1.4439,103.7854
North,Admiralty,14/04/2020,0,0.0,0.0,0.0,29.2,33.7,26.3,19.0,44.6,1.4439,103.7854
North,Admiralty,15/04/2020,0,0.0,0.0,0.0,29.3,33.0,26.2,18.1,45.4,1.4439,103.7854
North,Admiralty,16/04/2020,0,0.0,0.0,0.0,29.5,34.4,26.4,18.5,41.9,1.4439,103.7854
North,Admiralty,17/04/2020,0,0.0,0.0,0.0,29.5,34.3,26.6,15.7,37.0,1.4439,103.7854
North,Admiralty,18/04/2020,0,0.0,0.0,0.0,29.3,34.4,26.2,16.4,43.5,1.4439,103.7854
North,Admiralty,19/04/2020,0,0.0,0.0,0.0,30.1,34.7,27.6,16.4,36.7,1.4439,103.7854
North,Admiralty,20/04/2020,0,0.0,0.0,0.0,30.0,34.5,27.2,17.9,37.0,1.4439,103.7854
North,Admiralty,21/04/2020,63.2,30.0,51.8,61.8,28.4,32.9,23.3,14.1,46.1,1.4439,103.7854
North,Admiralty,22/04/2020,1,0.8,1.0,1.2,29.1,34.9,26.9,15.1,45.7,1.4439,103.7854
North,Admiralty,23/04/2020,12.6,6.8,6.8,6.8,27.7,34.2,25.5,11.5,41.9,1.4439,103.7854
North,Admiralty,24/04/2020,4,1.2,2.2,3.2,27.2,34.6,25.1,9.6,36.3,1.4439,103.7854
North,Admiralty,25/04/2020,2.4,2.2,2.2,2.2,27.2,31.3,25.8,10.3,37.4,1.4439,103.7854
North,Admiralty,26/04/2020,2.2,1.6,1.8,2.0,27.0,32.5,25.5,11.0,35.6,1.4439,103.7854
North,Admiralty,27/04/2020,0,0.0,0.0,0.0,27.2,30.7,24.9,11.2,42.0,1.4439,103.7854
North,Admiralty,28/04/2020,-,0.0,0.0,0.0,28.4,31.8,26.0,10.9,25.9,1.4439,103.7854
North,Admiralty,29/04/2020,-,2.4,3.0,5.4,28.9,34.5,25.1,11.0,42.0,1.4439,103.7854
North,Admiralty,30/04/2020,9.2,3.8,4.2,4.2,27.7,33.6,24.8,11.5,30.6,1.4439,103.7854
North,Admiralty,01/05/2020,0,0.0,0.0,0.0,27.6,31.6,25.1,22.3,45.4,1.4439,103.7854
North,Admiralty,02/05/2020,0,0.0,0.0,0.0,27.4,32.1,24.7,20.5,46.4,1.4439,103.7854
North,Admiralty,03/05/2020,1.6,0.6,1.0,1.2,27.1,29.9,25.0,17.6,39.6,1.4439,103.7854
North,Admiralty,04/05/2020,0,0.0,0.0,0.0,28.2,33.8,25.3,13.4,46.9,1.4439,103.7854
North,Admiralty,05/05/2020,3,3.0,3.0,3.0,28.3,35.0,25.6,12.2,45.0,1.4439,103.7854
